Contributors_max,Modified_elements_sum,Created_elements_sum,Week
12,2519,18334,2015-12-07
11,3208,11080,2015-12-14
12,4414,28081,2015-12-21
17,7393,42087,2015-12-28
14,5832,50311,2016-01-04
14,6880,37037,2016-01-11
15,6396,39028,2016-01-18
16,6842,38183,2016-01-25
11,4340,4646,2016-02-01
13,3922,13715,2016-02-08
17,6753,41061,2016-02-15
22,4723,29636,2016-02-22
17,2382,18328,2016-02-29
19,10890,22037,2016-03-07
25,5817,16099,2016-03-14
54,8622,87252,2016-03-21
28,7012,31217,2016-03-28
37,11134,9852,2016-04-04
92,14065,96743,2016-04-11
779,284127,1910560,2016-04-18
240,134601,691181,2016-04-25
109,66039,242967,2016-05-02
95,22999,111833,2016-05-09
73,27739,90811,2016-05-16
51,36895,32570,2016-05-23
52,29171,35248,2016-05-30
53,23581,29354,2016-06-06
49,15690,29151,2016-06-13
55,30497,53470,2016-06-20
58,28196,61036,2016-06-27
46,30310,35008,2016-07-04
45,20428,36448,2016-07-11
53,39090,40919,2016-07-18
49,39662,57088,2016-07-25
38,11928,16563,2016-08-01
28,763,4600,2016-08-08
36,3215,21896,2016-08-15
44,1685,20122,2016-08-22
41,4021,28374,2016-08-29
42,4111,18460,2016-09-05
41,2846,19761,2016-09-12
38,6195,33977,2016-09-19
51,5391,19214,2016-09-26
37,1833,17613,2016-10-03
82,3180,30482,2016-10-10
58,7234,29313,2016-10-17
53,6673,31430,2016-10-24
114,5415,86754,2016-10-31
41,1173,18245,2016-11-07
46,2434,12699,2016-11-14
38,6885,12068,2016-11-21
41,4336,13191,2016-11-28
28,851,8893,2016-12-05
32,2888,23497,2016-12-12
30,1422,14020,2016-12-19
48,19235,27636,2016-12-26
46,7524,19397,2017-01-02
37,3125,23806,2017-01-09
34,1504,10257,2017-01-16
37,2209,12256,2017-01-23
38,2299,18326,2017-01-30
39,1608,3113,2017-02-06
35,1894,7516,2017-02-13
28,1036,5522,2017-02-20
39,1843,7872,2017-02-27
30,1863,7101,2017-03-06
29,4092,20886,2017-03-13
26,1694,5323,2017-03-20
27,846,4783,2017-03-27
30,3135,6293,2017-04-03
37,2146,8369,2017-04-10
35,1297,11304,2017-04-17
58,2114,34459,2017-04-24
25,3272,11829,2017-05-01
31,6642,7057,2017-05-08
24,1334,6631,2017-05-15
33,1080,4913,2017-05-22
39,2824,6938,2017-05-29
35,4010,7459,2017-06-05
33,5555,12347,2017-06-12
35,7502,29883,2017-06-19
36,5564,23519,2017-06-26
35,6437,16297,2017-07-03
34,8121,8109,2017-07-10
31,6454,12851,2017-07-17
34,4013,18233,2017-07-24
31,4851,11528,2017-07-31
31,4282,7133,2017-08-07
39,6730,19895,2017-08-14
27,3531,15971,2017-08-21
30,7973,72886,2017-08-28
29,8809,36840,2017-09-04
34,14131,22026,2017-09-11
39,17951,52155,2017-09-18
36,26747,45213,2017-09-25
31,13528,23576,2017-10-02
37,10416,19636,2017-10-09
33,6620,26291,2017-10-16
37,19197,49543,2017-10-23
35,11230,14030,2017-10-30
36,5944,36364,2017-11-06
35,4556,46650,2017-11-13
27,3125,10862,2017-11-20
27,3946,11336,2017-11-27
34,7343,7735,2017-12-04
23,4793,13849,2017-12-11
24,5583,7141,2017-12-18
20,4649,19657,2017-12-25
38,9948,20080,2018-01-01
38,14780,22912,2018-01-08
36,14937,28200,2018-01-15
30,6637,11138,2018-01-22
29,10042,25355,2018-01-29
39,26565,49524,2018-02-05
32,9678,25774,2018-02-12
30,3584,34162,2018-02-19
23,2256,24543,2018-02-26
31,2047,53902,2018-03-05
36,6582,26334,2018-03-12
25,2413,21765,2018-03-19
28,2814,14822,2018-03-26
33,4800,15021,2018-04-02
26,4159,10105,2018-04-09
29,3216,14950,2018-04-16
27,4289,23447,2018-04-23
30,2497,16054,2018-04-30
27,1538,11634,2018-05-07
45,1805,11951,2018-05-14
37,887,8405,2018-05-21
23,1255,3822,2018-05-28
27,5343,9281,2018-06-04
51,1981,7803,2018-06-11
26,3285,17753,2018-06-18
25,4610,20497,2018-06-25
35,3177,15208,2018-07-02
34,5371,27451,2018-07-09
35,2827,26916,2018-07-16
37,4631,28644,2018-07-23
35,2846,11538,2018-07-30
24,1051,2463,2018-08-06
24,1350,3270,2018-08-13
31,1322,4035,2018-08-20
25,1093,3119,2018-08-27
22,3044,5857,2018-09-03
22,1655,2348,2018-09-10
22,2317,6089,2018-09-17
31,2816,5552,2018-09-24
32,1208,7785,2018-10-01
26,3563,7773,2018-10-08
26,6883,9119,2018-10-15
29,13835,6821,2018-10-22
26,1811,2842,2018-10-29
31,7607,9832,2018-11-05
33,5727,16568,2018-11-12
21,2911,11668,2018-11-19
27,2361,10624,2018-11-26
27,2295,11784,2018-12-03
32,6829,41884,2018-12-10
22,6923,20064,2018-12-17
24,5915,11894,2018-12-24
29,9061,34869,2018-12-31
24,9916,34602,2019-01-07
23,9053,37149,2019-01-14
27,12016,21879,2019-01-21
35,11565,36253,2019-01-28
34,7340,45653,2019-02-04
35,9450,36507,2019-02-11
53,9468,81338,2019-02-18
29,6203,52794,2019-02-25
27,9595,28662,2019-03-04
28,8470,21876,2019-03-11
27,12602,20044,2019-03-18
29,16799,40566,2019-03-25
23,22895,40570,2019-04-01
25,4861,8354,2019-04-08
23,4075,17825,2019-04-15
32,2834,14170,2019-04-22
22,3430,12363,2019-04-29
36,4398,29499,2019-05-06
26,5552,22072,2019-05-13
21,4531,14248,2019-05-20
22,3598,13020,2019-05-27
38,3943,30937,2019-06-03
26,4774,32316,2019-06-10
24,2862,10841,2019-06-17
22,4294,7074,2019-06-24
23,4462,16966,2019-07-01
19,2976,6193,2019-07-08
25,3109,11230,2019-07-15
24,3088,8068,2019-07-22
22,1920,5834,2019-07-29
31,2914,11083,2019-08-05
26,2221,17629,2019-08-12
26,2383,28928,2019-08-19
30,2249,8222,2019-08-26
26,3932,22033,2019-09-02
26,2374,17761,2019-09-09
27,7370,38567,2019-09-16
29,3294,12379,2019-09-23
24,4849,11458,2019-09-30
20,3225,6008,2019-10-07
20,4537,48360,2019-10-14
38,3788,26779,2019-10-21
29,3130,10153,2019-10-28
27,3288,15985,2019-11-04
26,3017,16678,2019-11-11
63,10392,38477,2019-11-18
36,12292,43948,2019-11-25
26,10516,48486,2019-12-02
27,10072,37370,2019-12-09
31,7978,21380,2019-12-16
21,4020,8232,2019-12-23
32,5078,9492,2019-12-30
37,5328,10652,2020-01-06
28,4466,7190,2020-01-13
22,2919,12076,2020-01-20
30,8401,11571,2020-01-27
29,3895,8377,2020-02-03
32,5677,18648,2020-02-10
25,6140,17119,2020-02-17
27,3976,10080,2020-02-24
25,4319,7859,2020-03-02
53,6665,23424,2020-03-09
13,4282,10037,2020-03-16
24,7347,24661,2020-03-23
24,4392,13603,2020-03-30
21,4599,9350,2020-04-06
14,4690,12972,2020-04-13
33,3443,17918,2020-04-20
24,5272,19362,2020-04-27
19,3499,49480,2020-05-04
20,1992,18964,2020-05-11
18,5628,39008,2020-05-18
19,2011,10653,2020-05-25
17,2909,21390,2020-06-01
22,2268,32743,2020-06-08
19,3069,5405,2020-06-15
19,1718,15843,2020-06-22
18,2704,12655,2020-06-29
28,3995,15019,2020-07-06
35,4183,15785,2020-07-13
23,7344,21175,2020-07-20
27,14052,16018,2020-07-27
21,4788,6014,2020-08-03
24,2568,17079,2020-08-10
22,1369,15460,2020-08-17
22,1374,17207,2020-08-24
37,8315,26278,2020-08-31
33,8694,27264,2020-09-07
25,5310,20318,2020-09-14
31,7015,28373,2020-09-21
