user,Nodes,Ways,Relations
tastrax,1694,133,0
GCarrion03,1690,476,1
Danny515,1685,169,0
giomaussi,1663,752,0
Christian_Rivera,1649,420,0
anyazb,1644,124,0
Pattersonavh,1644,323,0
Jandradeb,1635,199,0
JJCool,1630,132,0
Chris_353,1629,257,0
Rub21,1623,358,0
Chuchito Morales,1620,358,1
tshedy,1611,115,0
julio saransig,1610,251,0
CarolinaMon,1609,309,1
wislander,1608,241,0
mcarto,1607,515,0
Gabby03,1593,173,0
NLickteig,1592,153,0
Tar_heel75615,1589,273,0
Eysler,1576,104,0
gabrielav,1566,218,0
Ferchino83,1554,4,0
stradeo,1537,295,0
Angel Oswaldo Vázquez Patiño,1533,181,0
dbusse,1517,1208,3
MKnight,1517,296,0
Wouter Hantson,1498,249,0
dato86,1490,214,0
Alegria,1477,187,0
CRodS,1469,249,0
sjespinosap,1464,178,0
ramyaragupathy,1459,134,0
Jsalba,1458,128,0
ar_osmap,1457,261,0
Zach Byars,1454,226,1
Jacahi,1423,150,2
n1221,1419,324,0
ruthmaben,1419,121,0
joukop,1415,153,0
Esteban0206,1404,144,0
Jesús Gómez,1401,100,0
dammym,1400,143,0
Limarice,1391,358,0
KeatonAlan,1382,266,0
die_sophie,1363,185,0
moreslap,1351,214,5
korky99_04,1349,133,1
anders_ar,1348,315,0
GuyVV,1345,311,0
pratikyadav,1340,183,0
franzpc,1337,276,0
Heinz,1333,206,0
Andre Engels,1329,137,0
Palolo,1322,198,0
Stefansl,1320,202,0
constantinogaga,1307,152,0
vechocho,1305,126,1
Mika77,1304,248,0
Arturo López Ramírez,1299,72,0
avinicio,1275,327,0
VeroVasquez,1271,312,0
Mir76,1267,70,0
turion,1261,312,0
JimmyCunningham,1260,158,0
Katie Murphy,1256,301,0
Vir-VR,1251,387,0
AbbySaladino,1248,142,0
Emilia2,1231,151,0
ToniMapper,1226,270,0
jne,1221,227,0
Ancymon,1217,146,0
alexisdavila,1216,320,0
West Lake,1216,49,0
jBeata,1214,254,0
awReimer,1205,216,0
aordonez,1202,353,0
carlislemr,1196,175,0
Liz G,1187,81,0
Fringillus,1186,117,1
JYL45,1173,155,0
Ángel Adonis,1169,1,0
Frank Seg,1169,115,0
Ricardoutpl,1169,391,0
Dampee,1168,141,0
KariCab,1166,52,0
xf_,1159,250,0
dcp,1158,64,0
Juan Miguel Espinosa Soto,1156,338,0
KeumpSeattle,1148,202,0
Nodes&Roads,1144,87,0
Kathleen Cade,1140,198,0
fx99,1136,70,0
Raivara,1131,225,0
Fernando12131415,1127,253,0
Husselsg,1125,26,0
Paul McCombs,1113,72,0
NKuntz19,1106,44,0
rmulbry,1100,1096,0
Jossue,1099,365,0
Pablo Almeida,1097,85,0
mzve,1094,122,0
NicoChiDt,1088,277,0
Castec Ecuador,1087,50,0
PaulinoVallejo,1087,247,0
EPN_Dayana_Herrera,1082,210,0
rwst,1082,60,0
kevin ceavllos,1081,237,0
Maga_S,1078,244,0
Federico Mena Quintero,1077,237,0
eufchen,1074,129,0
NancyRVH,1072,31,0
BLytle,1070,76,0
andrew_dc,1067,116,0
Alfredo Guallpa,1062,218,0
davkho,1060,237,0
ahenley,1051,252,0
carigeo,1050,189,2
SterlingGIS,1048,210,0
saliousoft,1046,176,0
fagguslav,1043,71,0
tonoarmas,1042,177,0
Nuria Pastor,1034,189,0
kaxtillo,1031,199,0
dclarks,1025,109,0
daugman,1023,27,0
one_half_3544,1020,124,1
EPN-MarlonV,1014,166,0
AloysI,1010,90,0
henri_l,1009,98,0
zehpunktbarron,1008,172,0
Ares Guerra Soler,1007,168,0
Cartogis,1007,100,0
pgiraud,995,174,0
Jesús Abad,991,229,0
nosnaj,989,50,0
norpentar,985,200,0
ThibPhil,984,244,0
Emilio Gomez,980,69,0
brandon97utpl,979,468,0
Andrew Rickard,978,178,0
Rps333,969,57,0
Jcueva,966,38,0
garrityc,964,69,0
marek kleciak,962,222,1
Ruru2,962,34,0
josepfloyd,957,13,0
krupsutpl,957,156,0
Pablo Maquizaca,954,88,0
Carlos Brys,947,111,0
Carlos Idrovo,947,37,0
sudiebrown,945,244,0
Maia Call,942,245,0
maze2p0,940,55,0
Jhonnny Trelles,939,205,0
Madison Campbell,938,99,0
Alejo92,933,73,0
pinaco7,932,93,0
yoanna_,929,152,0
Susana Ordoñez,927,312,0
Andreirvidis,926,92,0
sethsigns,925,83,0
aboges26,924,11,0
Josual,924,119,0
sophcryan,914,151,0
TheJayOfOh,906,84,0
Juank7,904,161,0
Mslopez5,899,54,0
poornibadrinath,899,104,0
sebasvanegasb,896,244,0
Melody Ortega,895,72,0
Bijay-Karki,893,40,0
kazeem,880,76,0
gabry501,878,153,0
LUISTOB,878,227,0
adeubank,877,50,0
Juank Gordillo,877,143,0
olt,877,136,0
ekeshkekesh,872,87,0
switch94,871,42,0
luis esteban,870,166,0
Bardarboomga,868,187,1
lucianmanescu,867,59,0
jessisena,865,218,0
Daniela2,861,173,0
Gabriela Segovia,861,153,0
timdag,860,213,0
EstefaníaMoscoso,849,102,0
mueschel,847,120,0
EduardoLV,846,76,0
Chase Allen,844,83,0
sophs74,838,255,0
sarahschmitty17,836,199,0
Herrero85,835,82,0
Benj Osito,833,177,0
JO_EC,832,303,0
jay-ar,829,100,0
Claudia Goor,827,168,0
marioguillen1,824,57,0
LordOfMaps,823,61,0
sammy 25,818,71,0
CPlinius,817,100,0
Helmchen42,817,44,0
heinea,816,74,0
tasauf1980,809,173,0
Maximoose,805,83,2
marlonutpl,800,191,0
Miri_,797,144,0
Felix-Sz,792,110,0
Michi,790,154,0
maxburton,787,65,0
JimmySIGza,786,78,1
inmarpa,785,243,0
Hagellach37,784,118,0
miguejd,781,58,0
zoedavis,778,197,0
brublanc,776,27,0
AlfaroAndrade,770,221,0
esteban_villamizar,770,130,0
Javier Michael Chamba Torres,770,64,0
Batilda,769,170,0
