lat,lon,Nodes
-0.6,-80.2,12748
-0.6,-80.1,14032
-0.6,-80,12429
-0.6,-79.9,13580
-0.6,-79.8,12275
-0.6,-79.7,14354
-0.6,-79.6,4385
-0.6,-76.9,1
-0.5,-90.3,25
-0.5,-80.5,2576
-0.5,-80.4,11568
-0.5,-80.3,12387
-0.5,-80.2,17102
-0.5,-80.1,17244
-0.5,-80,14720
-0.5,-79.9,8687
-0.5,-79.8,2976
-0.5,-79.7,9804
-0.5,-79.6,215
-0.5,-78.6,87
-0.5,-77,1
-0.4,-90.3,10
-0.4,-80.5,1151
-0.4,-80.4,6058
-0.4,-80.3,11097
-0.4,-80.2,29587
-0.4,-80.1,17364
-0.4,-80,10501
-0.4,-79.9,1487
-0.4,-79.8,2
-0.4,-79.7,138
-0.4,-79.6,4
-0.4,-79,3
-0.4,-78.6,102
-0.4,-78.5,75
-0.4,-76.6,1
-0.3,-80.4,3068
-0.3,-80.3,10314
-0.3,-80.2,14848
-0.3,-80.1,15987
-0.3,-80,15448
-0.3,-79.9,1920
-0.3,-79.8,45
-0.3,-79.7,3
-0.3,-79.6,1
-0.3,-79.5,1
-0.3,-79.2,770
-0.3,-79.1,106
-0.3,-79,4
-0.3,-78.9,1
-0.3,-78.6,71
-0.3,-78.5,178
-0.3,-78.4,19
-0.3,-76.8,1
-0.2,-80.4,716
-0.2,-80.3,18280
-0.2,-80.2,10123
-0.2,-80.1,13122
-0.2,-80,13310
-0.2,-79.9,7005
-0.2,-79.8,163
-0.2,-79.7,4
-0.2,-79.6,11
-0.2,-79.5,1
-0.2,-79.2,535
-0.2,-79.1,325
-0.2,-79,2
-0.2,-78.6,3
-0.2,-78.5,1073
-0.2,-78.4,125
-0.2,-78.3,16
-0.2,-76.6,4
-0.1,-80.2,6976
-0.1,-80.1,6870
-0.1,-80,11571
-0.1,-79.9,11399
-0.1,-79.8,4753
-0.1,-79.7,2
-0.1,-79.6,42
-0.1,-79.5,1
-0.1,-79.4,2
-0.1,-79.3,1
-0.1,-79.2,2
-0.1,-78.8,100
-0.1,-78.6,60
-0.1,-78.5,1471
-0.1,-78.4,380
-0.1,-77.7,1
-0.1,-76.6,9
-0.1,-76.5,82
-0.1,-76.4,171
-0.1,-76.3,165
-0.1,-76.1,7
0,-80.1,10559
-0,-80,7589
-0,-79.9,7285
-0,-79.8,2619
0,-79.7,126
-0,-79.6,23
-0,-79.5,7
0,-79.4,1
-0,-78.8,1
0,-78.7,56
0,-78.6,98
-0,-78.5,286
-0,-78.4,630
0,-78.2,67
0,-78.1,165
0,-76.8,3
0,-76.7,1
-0,-76.6,47
-0,-76.3,65
0.1,-80.1,16942
0.1,-80,31177
0.1,-79.9,4568
0.1,-79.3,27
0.1,-79.2,25
0.1,-78.5,11
0.1,-78.4,500
0.1,-78.2,26
0.1,-78.1,145
0.1,-77,56
0.1,-76.9,2172
0.1,-76.8,341
0.2,-80,27039
0.2,-79.9,14437
0.2,-79.8,1
0.2,-79.3,1
0.2,-78.4,51
0.2,-78.3,21
0.2,-78.2,21
0.2,-78.1,75
0.2,-76.9,9
0.2,-76.8,36
0.3,-80,11895
0.3,-79.9,14398
0.3,-79.8,1
0.3,-79.5,1
0.3,-79.3,1
0.3,-78.3,5
0.3,-78.2,2
0.3,-78.1,235
0.4,-80.1,187
0.4,-80,18532
0.4,-79.9,1622
0.4,-78.2,1
0.4,-78.1,3
0.4,-77.9,1
0.5,-80.1,37
0.5,-80,13343
0.5,-79.9,1940
0.5,-79.4,1
0.6,-80.1,344
0.6,-80,19893
0.6,-79.9,909
0.6,-79.8,20
0.6,-77.9,1
0.6,-77.8,4
0.7,-80.1,3658
0.7,-80,6716
