username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019/10/07 23:27;768;1178;"Hey tu “VALIENTE” tuuu @Lenin mira quien ya está en #Duran!! Y ahora dónde vas a correr a esconderte con tu grupete de INCOMPETENTES? #ElParoSigue #ParoNacionalEcuador #YoTambienSoyZangano @mariapaularomo @ottosonnenh @juanseroldan @IvanGrandaM Tic..tac.. tic ...tac pic.twitter.com/OJSziv65Bk";;@Lenin @mariapaularomo @ottosonnenh @juanseroldan @IvanGrandaM;#Duran #ElParoSigue #ParoNacionalEcuador #YoTambienSoyZangano;"1181425914829246464";https://twitter.com/CerezoPepita/status/1181425914829246464
;2019/10/07 22:33;73;100;"Camiones siguen llegando con los compañeros indígenas que se siuman al #ParoNacionalEcuador. #MuerteCruzada #ElParoSigue #ElParoRecienEmpiezapic.twitter.com/8OV6YvX2os";;;#ParoNacionalEcuador #MuerteCruzada #ElParoSigue #ElParoRecienEmpiezapic;"1181412260998189057";https://twitter.com/radiolacalle/status/1181412260998189057
;2019/10/07 21:56;170;268;"LOS SACARON A PUNTA DE BALA! Cansados del vandalismo los guardias de un supermercado en Guayaquil sacaron a punta de bala a delincuentes que pretendian saquear su lugar de trabajo. Los maleantes huyeron asustados. #ParoNacionalEcuador #Guayaquilpic.twitter.com/K4z5CXxHta";;;#ParoNacionalEcuador #Guayaquilpic;"1181403059689328641";https://twitter.com/notibien/status/1181403059689328641
;2019/10/07 21:52;103;45;"Un hombre mayor fue agredido por policías esta noche en el Centro Histórico de #Cuenca. El hombre trató de responder y fue golpeado, cayó y fue pateado en el suelo. Una bomba lacrimogena explotó junto a él y no se pudo ver más. #ParoNacionalEcuador #ElParoNoPara #EcuadorEnParopic.twitter.com/jBZcbXuK30";;;#Cuenca #ParoNacionalEcuador #ElParoNoPara #EcuadorEnParopic;"1181401855496216577";https://twitter.com/jfbeltranr/status/1181401855496216577
;2019/10/07 21:46;255;222;"#ATENCIÓN | A esta hora se registran enfrentamientos en el sector de la Plaza del Teatro, en el centro de #Quito, entre elementos de @PoliciaEcuador y manifestantes. #ParoNacionalEcuador. pic.twitter.com/Oe5rEJ4NWb";;@PoliciaEcuador;#ATENCI #Quito #ParoNacionalEcuador;"1181400549343875072";https://twitter.com/pichinchauniver/status/1181400549343875072
;2019/10/07 21:46;73;81;"A las 21:00, en sus primeras declaraciones Leonidas Iza, presidente del movimiento indígena de Cotopaxi, dijo que el propósito de esta movilización es “cambiar el rumbo de este país” ? @CONAIE_Ecuador? #ParoNacionalEcuador pic.twitter.com/VrXiz2LXjs";;@CONAIE_Ecuador;#ParoNacionalEcuador;"1181400543647948801";https://twitter.com/EspaciadoraBar/status/1181400543647948801
;2019/10/07 21:41;194;172;"A esta hora en Macas, huye la Policía Nacional. #ParoNacionalEC #Paro #ParoNacionalEcuador pic.twitter.com/YqJ59qqVuV";;;#ParoNacionalEC #Paro #ParoNacionalEcuador;"1181399287739101184";https://twitter.com/lichizchik/status/1181399287739101184
;2019/10/07 21:37;89;125;"Los héroes indígenas en la Capital de la República del Ecuador #ElParoNoPara #ParoNacionalEcuador @MashiRafael @PaolaPabonC @virgiliohernandhttps://twitter.com/sarukamunoz6/status/1181375424225517569 …";;@MashiRafael @PaolaPabonC @virgiliohernandhttps;#ElParoNoPara #ParoNacionalEcuador;"1181398100696604674";https://twitter.com/wgomezr/status/1181398100696604674
;2019/10/07 21:31;54;34;"Declaraciones de @Lenin esta noche del 7 de Octubre de 2019. Día 5 del #ParoNacionalEcuador https://videos.telesurtv.net/video/797340/lenin-moreno-no-voy-a-dar-marcha-atras/ …";;@Lenin;#ParoNacionalEcuador;"1181396646061629440";https://twitter.com/pvillegas_tlSUR/status/1181396646061629440
;2019/10/07 21:27;106;144;"El burdo cuento de Moreno es nauseabundo: sigue diciendo que todo es culpa de los correístas, sigue creyendo que el pueblo es estúpido. Gobierno: Moreno y Otto deben renunciar por el bien del País. #ParoNacional #SOSEcuador #ElParoNoPara #ParoNacionalEcuador @CIDH @ONU_derechos";;@CIDH @ONU_derechos;#ParoNacional #SOSEcuador #ElParoNoPara #ParoNacionalEcuador;"1181395710417264640";https://twitter.com/amapolanaranjo/status/1181395710417264640
;2019/10/07 21:11;94;85;"[AHORA] ¿Qué dijo @Lenin Moreno en Cadena Nacional? Se traslada la sede del Gobierno a #Guayaquil. No dará marcha atrás con la decisión de quitar los subsidios de los combustibles. Llamó a los sectores sociales al dialogo sincero y fraterno. #ParoNacionalEcuador pic.twitter.com/PHnMDBU2FA";;@Lenin;#Guayaquil #ParoNacionalEcuador;"1181391700754931712";https://twitter.com/wambraEc/status/1181391700754931712
;2019/10/07 20:58;137;146;"#ElParoNoPara ¡HISTÓRICO! Entrada triunfal del Movimiento Indígena a #Quito. "El pueblo unido jamás será vencido" #CONAIE #ParoNacionalEcuador #LaLuchaVaPorqueVapic.twitter.com/fJ8ra0HbH3";;;#ElParoNoPara #Quito #CONAIE #ParoNacionalEcuador #LaLuchaVaPorqueVapic;"1181388310037630976";https://twitter.com/Vivi_GuevaraV/status/1181388310037630976
;2019/10/07 20:57;186;249;"Las lágrimas, ni siquiera me permiten escribir! -Así se recibe al GLORIOSO Pueblo Indígena en Calderón (norte de Quito)! #LoQueNoVeránEnLaPrensa #ParoNacionalEcuador #EstoyDecididohttps://twitter.com/JimmCoronado/status/1181385341363789825 …";;;#LoQueNoVer #ParoNacionalEcuador #EstoyDecididohttps;"1181388160133160961";https://twitter.com/IsmaelUlloa11/status/1181388160133160961
;2019/10/07 20:53;86;73;"#LoQueNoVeránEnLaPrensa Otro grupo del GLORIOSO Pueblo Indígena, avanzando por Carapungo, hacia Quito... Que alguien le informe a #Jarrín, que este Pueblo ha sido tan maltrato, que las amenazas de un “gallazo” de escritorio, no les intimida! #ParoNacionalEcuador pic.twitter.com/6bN0s0zrEP";;;#LoQueNoVer #Jarr #ParoNacionalEcuador;"1181387157346238464";https://twitter.com/IsmaelUlloa11/status/1181387157346238464
;2019/10/07 20:46;126;74;"La delincuencia está haciendo de las suyas. En Cotocollao un muerto, un policía herido. Tres venezolanos hacían de las suyas #ParoNacionalEcuador pic.twitter.com/5OTlJeJRMN";;;#ParoNacionalEcuador;"1181385463761911809";https://twitter.com/Normitush/status/1181385463761911809
;2019/10/07 20:32;199;144;"En Durán el descontrol absoluto. Gasolinera primax es asaltada por delincuentes. No existe personal policial en la zona. #SOSEcuador #PaquetazoDeMoreno #ParoNacional #ParoNacionalEcuador #ElParoNoPara #KolectiVOZenLasCallespic.twitter.com/Li9zbE0ZRN";;;#SOSEcuador #PaquetazoDeMoreno #ParoNacional #ParoNacionalEcuador #ElParoNoPara #KolectiVOZenLasCallespic;"1181381888956612609";https://twitter.com/kolectiVOZ/status/1181381888956612609
;2019/10/07 19:47;302;361;"#Ecuador: movimientos indígenas ingresan a Quito al grito de "el pueblo unido, jamás será vencido". Exigen la renuncia del presidente Lenín Moreno. #ElParoNoPara #ParoNacionalEcuador https://twitter.com/pichinchauniver/status/1181369624732065793 …";;;#Ecuador #ElParoNoPara #ParoNacionalEcuador;"1181370620627607557";https://twitter.com/InfoNodal/status/1181370620627607557
;2019/10/07 18:49;220;434;"El miserable de @Lenin caerá, como todos los neoliberales vendepatria. Gracias Ecuador por dar ejemplo. #ParoNacionalEcuador EL PUEBLO UNIDO JAMÁS SERÁ VENCIDO pic.twitter.com/xpPfuwQ1m6";;@Lenin;#ParoNacionalEcuador;"1181355869751140354";https://twitter.com/gaitan_presente/status/1181355869751140354
;2019/10/07 18:07;59;72;"En estos momentos entra a Quito la caravana de nuestrxs hermanxs indigenas. Recordamos que en los centros de acopio al rededor de la ciudad, se necesitan víveres, vituallas pero sobretodo manos solidarias. #SOSEcuador #ParoNacionalEcuador pic.twitter.com/dCrjXbFVi1";;;#SOSEcuador #ParoNacionalEcuador;"1181345444334653440";https://twitter.com/DesbordeEc/status/1181345444334653440
;2019/10/07 17:38;116;346;"Nos hacen falta las güevas y los ovarios que tiene el pueblo Ecuatoriano. ¿Se imaginan lo que ya hubiéramos logrado? #ATENCIÓN #ParoNacionalEcuador";;;#ATENCI #ParoNacionalEcuador;"1181338088045453312";https://twitter.com/Cathe_Tr/status/1181338088045453312
;2019/10/07 17:12;126;141;"¿Ya se pronunció la asamblea? Moreno no puede seguir en el poder, está enfrentando al pueblo contra el pueblo para el beneficio de las élites. ¡Muerte cruzada ya! #ElParoSigue #ParoNacionalEcuador pic.twitter.com/ZMyRG0HBRd";;;#ElParoSigue #ParoNacionalEcuador;"1181331479709831169";https://twitter.com/MaiadelC/status/1181331479709831169
;2019/10/07 17:04;407;489;"Manifestantes frente a @teleamazonasec protestan por el mal trabajo de la prensa nacional especialmente ese medio que ha solapado todas las porquerías de #ElGobiernoDeTodos #ElParoSigue #ParoNacionalEcuador pic.twitter.com/LnmkecqiEb";;@teleamazonasec;#ElGobiernoDeTodos #ElParoSigue #ParoNacionalEcuador;"1181329533905100800";https://twitter.com/janev30/status/1181329533905100800
